,User,Tweet
83,SaraNew33630005,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
84,taohuajiaojiao1,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
85,Sebasti60446632,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
86,ChildeMarcus,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
87,LeoMay93487104,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
88,CarolCh46061137,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
89,AgnesMa07903037,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
90,JonasAlfred4,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
91,LetitiaZangwill,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
92,LutherMadge,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
93,LydiaCo46664075,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
94,CorneliusHosea5,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
95,GeraldDewar,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
96,EliLee48279763,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
97,JosephineCamp6,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
98,TheresaHearst,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
99,reg_aldridge,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
100,reizeiinmiho,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
101,MelissaWollast2,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
102,TedWheatley7,"RT @Duty_Web3: Dear DUTY lovers:
 We decided to stagger the time period of the World Cup. The time for DUTY TOKEN to go online on the decen…"
