,User,Tweet,Date
52,onua951fm,"The Ghana Para Powerlifting team will be leaving Accra to Dubai on Tuesday 13th December 2022 by Emirates Airlines to participate in the 12th Fazza Dubai @Powerlifting  World Cup. This tournament is the 2nd mandatory qualification event for @Paris2024 @Paralympics 

#OnuaSports https://t.co/cufSJfuntp",2022-12-12 09:30:22+00:00
53,ChattChelseaFC,"RT @ChelseaRooter: Clubs believe Chelsea are close to agreeing deal for Germany’s teenage World Cup starlet
#CFC #KTBFFH
https://t.co/AaLYM…",2022-12-12 09:30:22+00:00
54,ofauzans,"RT @Tommy_desky: Bedah Tim produksi siaran langsung FIFA World Cup 2022.

Di Pildun 2022 memakai 42 Kamera &amp; sekitar 2500 crew produksi sia…",2022-12-12 09:30:20+00:00
55,hearbuy,"With big sports events, come great TV moments. Catch all the action of the 2022 World Cup with Widex TV Play, seamlessly streaming sound direct to Widex Moment™ hearing aids. 
https://t.co/yOxFUrLP1i 
#WidexMoment #WorldCup2022 #WidexTVPlay https://t.co/SpNpVYSIVY",2022-12-12 09:30:19+00:00
56,WestHamJase,"RT @westhamtransfer: West Ham are guaranteed to have a player representing them in the 2022 World Cup final. 

🇲🇦🇫🇷 https://t.co/xZxQFFxAYE",2022-12-12 09:30:16+00:00
57,khadija20092090,"RT @toisports: After Neymar, Croatia aim to end Lionel Messi's FIFA World Cup dream 

READ: https://t.co/55Rj2beKYF

#Messi #Neymar #Croati…",2022-12-12 09:30:13+00:00
58,evilbluebird,Clubs believe Chelsea are close to agreeing deal for Germany’s teenage World Cup starlet https://t.co/wQ98Yxjv47 via @NewsNowUK,2022-12-12 09:30:11+00:00
59,thepsychicseer,"#SportsMoney #sportsmoney Manchester City Benefit From World Cup Quarter-Final Results, But Tottenham Hotspur Could Suffer: The sides eliminated in the Qatar 2022 World Cup quarter-finals were full of Premier League stars. Now, clubs get these players… https://t.co/H5aZ27EmsL",2022-12-12 09:30:11+00:00
60,si_kimak,"RT @Akhlash_lm10: ⭐️ Top Rated Players of the FIFA World Cup 2022:

🥇 🇦🇷 Leo Messi - 8.09
🥈 🇫🇷 Kylian Mbappe - 7.98
🥉 🇫🇷 Antoine Griezmann…",2022-12-12 09:30:10+00:00
61,ManoloEtuk,"RT @MezahiMaher: Someone needs to write about why Moroccan, Algerian, Tunisian supporters often clash with police in Western European natio…",2022-12-12 09:30:04+00:00
62,AHSANbilalhadri,Soccer community remembers legacy of Grant Wahl after death at Qatar World Cup https://t.co/u2HYtncHbr,2022-12-12 09:30:04+00:00
63,chsaka2,RT @goal: Describe the winning 2022 World Cup final goal 👇 https://t.co/OgVPM13AgW,2022-12-12 09:30:03+00:00
64,TibiaOracle,"[2022-12-12 in @Tibia]

🔹 Version: 13.10.12874
🔹 Rashid location: Svargrond (Monday)
🔹 Boosted creature: Sea Serpent
🔹 Active events: *Christmas, Football World Cup, *Full Moon
🔹 Highest level: Goraca (2232)",2022-12-12 09:30:02+00:00
65,miloyvng00,RT @ahmedQ8_2002: #7. Goal vs Netherlands in World Cup 2022 QF https://t.co/ufts9TNtCo,2022-12-12 09:30:01+00:00
66,AliakLeila,RT @MoroccoWNews: Rumors are emerging in the football sphere that big European clubs such as Real Madrid @realmadriden  and some Premier Le…,2022-12-12 09:30:01+00:00
67,JessyPapan,"RT @AJEnglish: ""Ukraine and its supporters have managed to get FIFA and UEFA to suspend the Russian national team... Palestinian efforts to…",2022-12-12 09:30:01+00:00
68,KiyiciPasha,"RT @LLibertadAvanza: Because we are a country, not a Disney movie.  https://t.co/k8Lps8PgW2",2022-12-12 09:30:00+00:00
69,editorji,"Following Portugal's exit from the FIFA World Cup 2022, Senior Indian batter Virat Kohli penned down an emotional message to star footballer Cristiano Ronaldo

Here's what he wrote👇 

#CristianoRonaldo #ViratKohli 

https://t.co/2nMvXMZiBC",2022-12-12 09:30:00+00:00
70,GiveMeSport,"🇦🇷 Leo Messi could end this week with:

🏆 Lifting #ARG's first World Cup in 36 years.
✅ Complete international football with Copa America &amp; World Cup wins.
🏅 2022 World Cup Golden Ball winner.

The week that could cement the GOAT football career 🐐

#Qatar2022 | #FIFAWorldCup https://t.co/Ol4ugtNeBL",2022-12-12 09:30:00+00:00
71,editorjihindi,"इंटरनेशनल फुटबॉल को अलविदा कहेंगे रोनाल्डो? फैन्स को दुखी कर देगा स्टार फुटबॉलर का सोशल मीडिया पर यह पोस्ट.

 #Christianoronaldo 

यहां पढ़े पूरी खबर: https://t.co/GVPl1FRZy7 https://t.co/9YBpGatFPc",2022-12-12 09:30:00+00:00
72,hassan_k82,"RT @ZaynMahmood5: Captain Babar Azam in 2022
9 out of 10 L for KK
Lost 1-0 vs Aus at home
1-1 draw vs SL
Bottled one of the easiest Asia cu…",2022-12-12 09:29:56+00:00
73,KhaleedSZN_,"RT @leotventertain: Today's meme thread 😂😂😂 From Qatar 2022 FIFA World cup to Wizkid (Sir Wizkid, Big WIZ, Popsy)-Ghana show to Dark humors…",2022-12-12 09:29:56+00:00
74,studioOneFotoS,"RT @StarTimes_Ng: The Top 4 teams at the Qatar 2022 World Cup are set to do battle.

Argentina will take on Croatia on Tuesday, December 13…",2022-12-12 09:29:55+00:00
75,Damosco10,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:29:55+00:00
76,ArchieDahnkuan,RT @David_Ornstein: 🚨 Arsenal priority for January window is Mykhaylo Mudryk. No agreements but conversations happening &amp; 21yo Shakhtar Don…,2022-12-12 09:29:50+00:00
77,expressceleb,"'She will not be repeating this' BBC speak out on Alex Scott's 'rule break' in Qatar #WorldCup2022
https://t.co/M5jWQowgGc https://t.co/GMBzO9JQv5",2022-12-12 09:29:44+00:00
78,vikaaschopra,"RT @OpIndia_com: Qatar: After Grant Wahl, journalist Khalid al-Misslam dies suddenly while covering the FIFA World Cup
https://t.co/Sh1QZhw…",2022-12-12 09:29:43+00:00
